Time,ID,latitude,longitude,altitude,xVelocity,yVelocity,zVelocity
1,10,60.7093,-94.251,10000,637.1,-770.8,0
2,10,60.7024,-94.2394,10000,636.9,-770.9,0
3,10,60.6955,-94.2278,10000,636.8,-771,0
4,10,60.6886,-94.2161,10000,636.7,-771.1,0
5,10,60.6817,-94.2045,10000,636.5,-771.2,0
6,10,60.6747,-94.1929,10000,636.4,-771.3,0
7,10,60.6678,-94.1812,10000,636.3,-771.5,0
8,10,60.6609,-94.1696,10000,636.1,-771.6,0
9,10,60.654,-94.158,10000,636,-771.7,0
10,10,60.6471,-94.1464,10000,635.9,-771.8,0
11,10,60.6402,-94.1348,10000,635.8,-771.9,0
12,10,60.6333,-94.1232,10000,635.6,-772,0
13,10,60.6263,-94.1116,10000,635.5,-772.1,0
14,10,60.6194,-94.1,10000,635.4,-772.2,0
15,10,60.6125,-94.0884,10000,635.2,-772.3,0
16,10,60.6056,-94.0769,10000,635.1,-772.4,0
17,10,60.5987,-94.0653,10000,635,-772.5,0
18,10,60.5917,-94.0537,10000,634.8,-772.7,0
19,10,60.5848,-94.0421,10000,634.7,-772.8,0
20,10,60.5779,-94.0306,10000,634.6,-772.9,0
21,10,60.571,-94.019,10000,634.4,-773,0
22,10,60.564,-94.0075,10000,634.3,-773.1,0
23,10,60.5571,-93.9959,10000,634.2,-773.2,0
24,10,60.5502,-93.9844,10000,634,-773.3,0
25,10,60.5432,-93.9729,10000,633.9,-773.4,0
26,10,60.5363,-93.9613,10000,633.8,-773.5,0
27,10,60.5294,-93.9498,10000,633.6,-773.6,0
28,10,60.5224,-93.9383,10000,633.5,-773.7,0
29,10,60.5155,-93.9268,10000,633.4,-773.8,0
30,10,60.5086,-93.9153,10000,633.3,-773.9,0
31,10,60.5016,-93.9038,10000,633.1,-774,0
32,10,60.4947,-93.8923,10000,633,-774.2,0
33,10,60.4878,-93.8808,10000,632.9,-774.3,0
34,10,60.4808,-93.8693,10000,632.7,-774.4,0
35,10,60.4739,-93.8578,10000,632.6,-774.5,0
36,10,60.4669,-93.8463,10000,632.5,-774.6,0
37,10,60.46,-93.8348,10000,632.3,-774.7,0
38,10,60.4531,-93.8234,10000,632.2,-774.8,0
39,10,60.4461,-93.8119,10000,632.1,-774.9,0
40,10,60.4392,-93.8004,10000,632,-775,0
41,10,60.4322,-93.789,10000,631.8,-775.1,0
42,10,60.4253,-93.7775,10000,631.7,-775.2,0
43,10,60.4183,-93.7661,10000,631.6,-775.3,0
44,10,60.4114,-93.7546,10000,631.4,-775.4,0
45,10,60.4044,-93.7432,10000,631.3,-775.5,0
46,10,60.3975,-93.7318,10000,631.2,-775.6,0
47,10,60.3905,-93.7203,10000,631,-775.7,0
48,10,60.3836,-93.7089,10000,630.9,-775.8,0
49,10,60.3766,-93.6975,10000,630.8,-776,0
50,10,60.3697,-93.6861,10000,630.7,-776.1,0
51,10,60.3627,-93.6747,10000,630.5,-776.2,0
52,10,60.3558,-93.6633,10000,630.4,-776.3,0
53,10,60.3488,-93.6519,10000,630.3,-776.4,0
54,10,60.3419,-93.6405,10000,630.1,-776.5,0
55,10,60.3349,-93.6291,10000,630,-776.6,0
56,10,60.3279,-93.6177,10000,629.9,-776.7,0
57,10,60.321,-93.6063,10000,629.8,-776.8,0
58,10,60.314,-93.5949,10000,629.6,-776.9,0
59,10,60.3071,-93.5836,10000,629.5,-777,0
60,10,60.3001,-93.5722,10000,629.4,-777.1,0
61,10,60.2931,-93.5608,10000,629.3,-777.2,0
62,10,60.2862,-93.5495,10000,629.1,-777.3,0
63,10,60.2792,-93.5381,10000,629,-777.4,0
64,10,60.2722,-93.5268,10000,628.9,-777.5,0
65,10,60.2653,-93.5154,10000,628.7,-777.6,0
66,10,60.2583,-93.5041,10000,628.6,-777.7,0
67,10,60.2513,-93.4927,10000,628.5,-777.8,0
68,10,60.2444,-93.4814,10000,628.4,-777.9,0
69,10,60.2374,-93.4701,10000,628.2,-778,0
70,10,60.2304,-93.4588,10000,628.1,-778.1,0
71,10,60.2234,-93.4475,10000,628,-778.2,0
72,10,60.2165,-93.4361,10000,627.9,-778.3,0
73,10,60.2095,-93.4248,10000,627.7,-778.4,0
74,10,60.2025,-93.4135,10000,627.6,-778.5,0
75,10,60.1955,-93.4022,10000,627.5,-778.6,0
76,10,60.1886,-93.391,10000,627.4,-778.7,0
77,10,60.1816,-93.3797,10000,627.2,-778.8,0
78,10,60.1746,-93.3684,10000,627.1,-778.9,0
79,10,60.1676,-93.3571,10000,627,-779,0
80,10,60.1606,-93.3458,10000,626.9,-779.1,0
81,10,60.1536,-93.3346,10000,626.7,-779.2,0
82,10,60.1467,-93.3233,10000,626.6,-779.3,0
83,10,60.1397,-93.312,10000,626.5,-779.4,0
84,10,60.1327,-93.3008,10000,626.4,-779.5,0
85,10,60.1257,-93.2895,10000,626.2,-779.6,0
86,10,60.1187,-93.2783,10000,626.1,-779.7,0
87,10,60.1117,-93.267,10000,626,-779.8,0
88,10,60.1047,-93.2558,10000,625.9,-779.9,0
89,10,60.0978,-93.2446,10000,625.7,-780,0
90,10,60.0908,-93.2334,10000,625.6,-780.1,0
91,10,60.0838,-93.2221,10000,625.5,-780.2,0
92,10,60.0768,-93.2109,10000,625.4,-780.3,0
93,10,60.0698,-93.1997,10000,625.2,-780.4,0
94,10,60.0628,-93.1885,10000,625.1,-780.5,0
95,10,60.0558,-93.1773,10000,625,-780.6,0
96,10,60.0488,-93.1661,10000,624.9,-780.7,0
97,10,60.0418,-93.1549,10000,624.8,-780.8,0
98,10,60.0348,-93.1437,10000,624.6,-780.9,0
99,10,60.0278,-93.1325,10000,624.5,-781,0
100,10,60.0208,-93.1213,10000,624.4,-781.1,0
101,10,60.0138,-93.1102,10000,624.3,-781.2,0
102,10,60.0068,-93.099,10000,624.1,-781.3,0
103,10,59.9998,-93.0878,10000,624,-781.4,0
104,10,59.9928,-93.0767,10000,623.9,-781.5,0
105,10,59.9858,-93.0655,10000,623.8,-781.6,0
106,10,59.9788,-93.0543,10000,623.7,-781.7,0
